celebrity_name,picture_number,file_path,brightness,resolution,race,gender,colorfulness,file_name,augmented
America-Ferrera,1,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/001.jpg,97.45953608247424,194x260,White-Latina,female,29.0809212268401,001.jpg,0
America-Ferrera,2,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/002.jpg,196.03578509119745,260x194,White-Latina,female,27.16274398990917,002.jpg,0
America-Ferrera,3,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/003.jpg,101.60465668804942,183x276,White-Latina,female,46.40231476851071,003.jpg,0
America-Ferrera,4,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/004.jpg,56.67846747846748,195x259,White-Latina,female,34.706825966960174,004.jpg,0
America-Ferrera,5,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/005.jpg,136.61803944890474,171x295,White-Latina,female,76.117812670945,005.jpg,0
America-Ferrera,6,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/006.jpg,80.57662446249402,299x168,White-Latina,female,43.11756189037666,006.jpg,0
America-Ferrera,7,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/007.jpg,100.2516897583794,201x251,White-Latina,female,56.68981175494609,007.jpg,0
America-Ferrera,8,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/008.jpg,124.85805432098763,225x225,White-Latina,female,45.86962738324743,008.jpg,0
America-Ferrera,9,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/009.jpg,74.36246398410333,275x183,White-Latina,female,34.3058927625878,009.jpg,0
America-Ferrera,10,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/010.jpg,177.45166418281173,275x183,White-Latina,female,70.62121993016461,010.jpg,0
America-Ferrera,11,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/011.jpg,107.496289535299,223x226,White-Latina,female,42.375035324758215,011.jpg,0
America-Ferrera,12,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/012.jpg,188.93468455042225,275x183,White-Latina,female,50.70634561747022,012.jpg,0
America-Ferrera,13,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/013.jpg,85.96479320473128,204x247,White-Latina,female,37.48173474096189,013.jpg,0
America-Ferrera,14,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/014.jpg,78.95781228255035,281x179,White-Latina,female,62.13272611611238,014.jpg,0
America-Ferrera,15,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/015.jpg,61.76204699322979,186x270,White-Latina,female,51.47008275364874,015.jpg,0
America-Ferrera,16,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/016.jpg,156.42910122164048,191x264,White-Latina,female,32.6725413936306,016.jpg,0
America-Ferrera,17,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/017.jpg,129.45531982645386,259x194,White-Latina,female,66.12149164372059,017.jpg,0
America-Ferrera,18,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/018.jpg,105.53045018508936,194x259,White-Latina,female,39.9256938176865,018.jpg,0
America-Ferrera,19,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/019.jpg,81.30478048003822,194x259,White-Latina,female,38.95857381664689,019.jpg,0
America-Ferrera,20,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/020.jpg,158.52728389922896,201x251,White-Latina,female,40.02989691331594,020.jpg,0
America-Ferrera,21,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/021.jpg,79.32655737704918,275x183,White-Latina,female,94.32429177959013,021.jpg,0
America-Ferrera,22,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/022.jpg,63.14110283159464,183x275,White-Latina,female,32.018619512902944,022.jpg,0
America-Ferrera,23,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/023.jpg,74.71471435668157,183x275,White-Latina,female,23.04810618488318,023.jpg,0
America-Ferrera,24,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/024.jpg,154.7779124766485,181x278,White-Latina,female,44.87070691942928,024.jpg,0
America-Ferrera,25,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/025.jpg,93.08259499316168,201x251,White-Latina,female,44.22872987310828,025.jpg,0
America-Ferrera,26,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/026.jpg,92.61852094111116,201x251,White-Latina,female,68.02556277694532,026.jpg,0
America-Ferrera,27,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/027.jpg,94.66489816194736,275x183,White-Latina,female,44.150414372155645,027.jpg,0
America-Ferrera,28,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/028.jpg,76.64822652757078,275x183,White-Latina,female,43.24693185759833,028.jpg,0
America-Ferrera,29,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/029.jpg,139.07107546308245,209x241,White-Latina,female,90.10065835500856,029.jpg,0
America-Ferrera,30,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/030.jpg,181.37144446210075,203x248,White-Latina,female,99.68673290233232,030.jpg,0
America-Ferrera,31,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/031.jpg,64.91518718065966,281x179,White-Latina,female,25.596824212725924,031.jpg,0
America-Ferrera,32,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/032.jpg,132.6693028879507,201x251,White-Latina,female,38.39901217313033,032.jpg,0
America-Ferrera,33,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/033.jpg,72.44659711872826,275x183,White-Latina,female,41.06620596226194,033.jpg,0
America-Ferrera,34,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/034.jpg,162.0587872272655,299x168,White-Latina,female,92.90450813323837,034.jpg,0
America-Ferrera,35,/workspace/DS4002Project3/DATA/celebrities_all/America-Ferrera/035.jpg,155.0169841269841,300x168,White-Latina,female,112.62190069796488,035.jpg,0
